LAD21NM,LAD21C,LA_code_old_2011,REGN21NM,REGN21CD,country,country_code,budget_2021_75
Barking and Dagenham,E09000002,301,London,E12000007,England,E92000001,1
Barnet,E09000003,302,London,E12000007,England,E92000001,0
Bexley,E09000004,303,London,E12000007,England,E92000001,0
Brent,E09000005,304,London,E12000007,England,E92000001,1
Bromley,E09000006,305,London,E12000007,England,E92000001,0
Camden,E09000007,202,London,E12000007,England,E92000001,1
City of London,E09000001,201,London,E12000007,England,E92000001,0
Croydon,E09000008,306,London,E12000007,England,E92000001,1
Ealing,E09000009,307,London,E12000007,England,E92000001,0
Enfield,E09000010,308,London,E12000007,England,E92000001,1
Greenwich,E09000011,203,London,E12000007,England,E92000001,1
Hackney,E09000012,204,London,E12000007,England,E92000001,1
Hammersmith and Fulham,E09000013,205,London,E12000007,England,E92000001,0
Haringey,E09000014,309,London,E12000007,England,E92000001,1
Harrow,E09000015,310,London,E12000007,England,E92000001,0
Havering,E09000016,311,London,E12000007,England,E92000001,0
Hillingdon,E09000017,312,London,E12000007,England,E92000001,0
Hounslow,E09000018,313,London,E12000007,England,E92000001,1
Islington,E09000019,206,London,E12000007,England,E92000001,1
Kensington and Chelsea,E09000020,207,London,E12000007,England,E92000001,0
Kingston upon Thames,E09000021,314,London,E12000007,England,E92000001,0
Lambeth,E09000022,208,London,E12000007,England,E92000001,1
Lewisham,E09000023,209,London,E12000007,England,E92000001,1
Merton,E09000024,315,London,E12000007,England,E92000001,0
Newham,E09000025,316,London,E12000007,England,E92000001,1
Redbridge,E09000026,317,London,E12000007,England,E92000001,0
Richmond upon Thames,E09000027,318,London,E12000007,England,E92000001,0
Southwark,E09000028,210,London,E12000007,England,E92000001,1
Sutton,E09000029,319,London,E12000007,England,E92000001,0
Tower Hamlets,E09000030,211,London,E12000007,England,E92000001,1
Waltham Forest,E09000031,320,London,E12000007,England,E92000001,1
Wandsworth,E09000032,212,London,E12000007,England,E92000001,0
Westminster,E09000033,213,London,E12000007,England,E92000001,0
