LAD21NM,LAD21C,date,has_cc,number_cc,has_fh,number_fh,notes
City of London,E09000001,09/02/2023,1,1,0,NA,NA
Barking and Dagenham,E09000002,09/02/2023,1,6,0,NA,NA
Barnet,E09000003,09/02/2023,1,11,0,NA,NA
Bexley,E09000004,09/02/2023,1,5,0,NA,NA
Brent,E09000005,09/02/2023,0,NA,1,8,NA
Bromley,E09000006,09/02/2023,1,6,0,NA,NA
Camden,E09000007,09/02/2023,1,8,0,NA,NA
Croydon,E09000008,09/02/2023,1,9,0,NA,NA
Ealing,E09000009,09/02/2023,1,25,0,NA,NA
Enfield,E09000010,09/02/2023,1,5,0,NA,NA
Greenwich,E09000011,09/02/2023,1,23,0,NA,NA
Hackney,E09000012,09/02/2023,1,21,0,NA,NA
Hammersmith and Fulham,E09000013,09/02/2023,1,12,0,NA,NA
Haringey,E09000014,09/02/2023,1,9,0,NA,NA
Harrow,E09000015,09/02/2023,0,NA,1,2,NA
Havering,E09000016,09/02/2023,1,6,0,NA,NA
Hillingdon,E09000017,09/02/2023,1,14,0,NA,NA
Hounslow,E09000018,10/02/2023,1,10,0,NA,NA
Islington,E09000019,10/02/2023,1,16,0,NA,NA
Kensington and Chelsea,E09000020,13/02/2023,1,6,0,NA,NA
Kingston upon Thames,E09000021,13/02/2023,1,4,0,NA,NA
Richmond upon Thames,E09000027,13/02/2023,1,6,0,NA,NA
Lambeth,E09000022,13/02/2023,1,16,0,NA,NA
Lewisham,E09000023,13/02/2023,1,3,0,NA,NA
Merton,E09000024,13/02/2023,1,10,0,NA,NA
Newham,E09000025,13/02/2023,1,10,1,1,fh virtual
Redbridge,E09000026,13/02/2023,1,11,0,NA,NA
Southwark,E09000028,13/02/2023,1,14,0,NA,NA
Sutton,E09000029,13/02/2023,1,4,1,1,NA
Tower Hamlets,E09000030,13/02/2023,0,NA,1,12,NA
Waltham Forest,E09000031,13/02/2023,1,4,0,NA,NA
Wandsworth,E09000032,13/02/2023,1,11,0,NA,NA
Westminster,E09000033,13/02/2023,1,1,1,2,NA
